Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,833,822,905,926,1045,758,1062,0.0,False
jmeter_view_page:open_page,7068,264,254,319,342,407,183,1662,0.0,False
jmeter_view_dashboard,1221,801,787,881,921,1003,706,1175,0.0,False
jmeter_comment_page,915,75,71,85,93,147,58,419,0.0,False
jmeter_view_attachment,615,203,197,249,268,318,153,469,0.0,False
jmeter_view_blog,1524,442,424,621,725,1010,216,1529,0.0,False
jmeter_create_and_edit_page:create_page_editor,1062,161,155,177,211,258,136,429,0.0,False
jmeter_create_and_edit_page:create_page,1057,321,309,357,379,476,279,1337,0.0,False
jmeter_create_and_edit_page:open_editor,1057,53,50,56,66,108,45,185,0.0,False
jmeter_search_cql:recently_viewed,1365,15,15,18,19,42,7,111,0.0,False
jmeter_search_cql:search_results,1365,452,441,522,552,638,249,1230,0.0,False
jmeter_create_and_edit_page:edit_page,1041,365,354,401,427,486,321,1313,0.0,False
jmeter_create_blog:blog_editor,452,176,171,189,198,273,154,551,0.0,False
jmeter_create_blog:feel_and_publish,452,335,328,373,396,441,290,486,0.0,False
jmeter_upload_attachment,738,369,337,466,518,650,267,3626,0.0,False
jmeter_like_page,296,27,20,40,41,47,17,219,0.0,False
selenium_login:open_login_page,366,118,117,123,128,148,109,350,0.0,False
selenium_login:login_and_view_dashboard,366,297,305,320,325,363,240,511,0.0,False
selenium_login,366,488,493,513,520,561,420,942,0.0,False
selenium_view_page,366,404,378,512,638,731,231,901,0.0,False
selenium_create_page:open_create_page_editor,366,727,720,790,810,863,571,2035,0.0,False
selenium_create_page:save_created_page,366,605,601,622,636,661,563,1104,0.0,False
selenium_create_page,366,1447,1441,1513,1535,1715,1271,2785,0.0,False
selenium_edit_page:open_create_page_editor,366,1598,1603,2220,2363,2654,951,2732,0.0,False
selenium_edit_page:save_edited_page,366,766,714,953,1068,1329,589,1459,0.0,False
selenium_edit_page,366,2385,2488,3082,3314,3646,1629,3846,0.0,False
selenium_create_comment:write_comment,366,604,664,789,806,851,241,2313,0.0,False
selenium_create_comment:save_comment,366,485,609,647,651,657,122,675,0.0,False
selenium_create_comment,366,1448,1520,1775,1864,1929,721,3048,0.0,False
selenium_view_blog,366,730,706,1002,1185,1412,361,1681,0.0,False
selenium_view_dashboard,366,275,286,325,344,378,165,390,0.0,False
selenium_log_out,366,107,106,111,114,126,99,193,0.0,False
